date,variable,wavelength_nm,value
2025-07-20,Albedo,320.0,0.6639606533880238
2025-07-20,Albedo,323.3333333333333,0.6851352346105274
2025-07-20,Albedo,326.6666666666667,0.7062241632341312
2025-07-20,Albedo,330.0,0.6972748760815651
2025-07-20,Albedo,333.3333333333333,0.7029878549339854
2025-07-20,Albedo,336.6666666666667,0.714524516583575
2025-07-20,Albedo,340.0,0.7225563900096478
2025-07-20,Albedo,343.3333333333333,0.7188847099525889
2025-07-20,Albedo,346.6666666666667,0.72335383915818
2025-07-20,Albedo,350.0,0.7250882185512243
2025-07-20,Albedo,353.3333333333333,0.7273376481389583
2025-07-20,Albedo,356.6666666666667,0.7297387322813261
2025-07-20,Albedo,360.0,0.7276288280465586
2025-07-20,Albedo,363.3333333333333,0.7299918690541571
2025-07-20,Albedo,366.6666666666667,0.7367133970396045
2025-07-20,Albedo,370.0,0.7323504632404753
2025-07-20,Albedo,373.3333333333333,0.7329038202685616
2025-07-20,Albedo,376.6666666666667,0.7339739359222526
2025-07-20,Albedo,380.0,0.7369541996127589
2025-07-20,Albedo,383.3333333333333,0.7327678768263137
2025-07-20,Albedo,386.6666666666667,0.7352879799136226
2025-07-20,Albedo,390.0,0.7343764943532821
2025-07-20,Albedo,393.33333333333337,0.7313740795732584
2025-07-20,Albedo,396.6666666666667,0.7338419909585733
2025-07-20,Albedo,400.0,0.7379490387051406
2025-07-20,Albedo,403.33333333333337,0.7398548129906241
2025-07-20,Albedo,406.6666666666667,0.7393525068974589
2025-07-20,Albedo,410.0,0.7390168842941753
2025-07-20,Albedo,413.33333333333337,0.7389270856524149
2025-07-20,Albedo,416.6666666666667,0.7399458053991602
2025-07-20,Albedo,420.0,0.7391814321561403
2025-07-20,Albedo,423.33333333333337,0.7405209587629807
2025-07-20,Albedo,426.6666666666667,0.7397143414644252
2025-07-20,Albedo,430.0,0.7379049377397459
2025-07-20,Albedo,433.33333333333337,0.7381589445939822
2025-07-20,Albedo,436.6666666666667,0.7397230797669583
2025-07-20,Albedo,440.0,0.7394597907620062
2025-07-20,Albedo,443.33333333333337,0.7390546269264403
2025-07-20,Albedo,446.6666666666667,0.7398345472343062
2025-07-20,Albedo,450.0,0.7402727959658107
2025-07-20,Albedo,453.33333333333337,0.7400953563535749
2025-07-20,Albedo,456.6666666666667,0.7403543683704018
2025-07-20,Albedo,460.0,0.73940497813818
2025-07-20,Albedo,463.33333333333337,0.7400600726446431
2025-07-20,Albedo,466.6666666666667,0.740086191757076
2025-07-20,Albedo,470.0,0.7395669056878168
2025-07-20,Albedo,473.33333333333337,0.7401539671024412
2025-07-20,Albedo,476.6666666666667,0.7406483969665972
2025-07-20,Albedo,480.0,0.7405035104102504
2025-07-20,Albedo,483.33333333333337,0.7402286402898333
2025-07-20,Albedo,486.6666666666667,0.7392659213293893
2025-07-20,Albedo,490.0,0.7394577202436523
2025-07-20,Albedo,493.33333333333337,0.7413146501948032
2025-07-20,Albedo,496.6666666666667,0.7413274538069706
2025-07-20,Albedo,500.0,0.7405421972725554
2025-07-20,Albedo,503.33333333333337,0.740378425177897
2025-07-20,Albedo,506.6666666666667,0.7402501852623912
2025-07-20,Albedo,510.0,0.7408974789119922
2025-07-20,Albedo,513.3333333333334,0.7404239883398949
2025-07-20,Albedo,516.6666666666667,0.738812207172421
2025-07-20,Albedo,520.0,0.7383828232099793
2025-07-20,Albedo,523.3333333333334,0.7388828109428168
2025-07-20,Albedo,526.6666666666667,0.7389711356019278
2025-07-20,Albedo,530.0,0.7385789492826819
2025-07-20,Albedo,533.3333333333334,0.737852287683008
2025-07-20,Albedo,536.6666666666667,0.7383431977774568
2025-07-20,Albedo,540.0,0.7376020021861743
2025-07-20,Albedo,543.3333333333334,0.7374442646039474
2025-07-20,Albedo,546.6666666666667,0.7374879427956321
2025-07-20,Albedo,550.0,0.7372012025915885
2025-07-20,Albedo,553.3333333333334,0.7371717238380157
2025-07-20,Albedo,556.6666666666667,0.7363616491504981
2025-07-20,Albedo,560.0,0.735811998939804
2025-07-20,Albedo,563.3333333333334,0.7356163582322754
2025-07-20,Albedo,566.6666666666667,0.7355345479610417
2025-07-20,Albedo,570.0,0.7351163525685844
2025-07-20,Albedo,573.3333333333334,0.7345316906861016
2025-07-20,Albedo,576.6666666666667,0.7343425722849852
2025-07-20,Albedo,580.0,0.7346724646775881
2025-07-20,Albedo,583.3333333333334,0.7360671155561238
2025-07-20,Albedo,586.6666666666667,0.7351010059306878
2025-07-20,Albedo,590.0,0.732584483641439
2025-07-20,Albedo,593.3333333333334,0.7324732274861487
2025-07-20,Albedo,596.6666666666667,0.732707054646441
2025-07-20,Albedo,600.0,0.7327430401371801
2025-07-20,Albedo,603.3333333333334,0.7312685066435691
2025-07-20,Albedo,606.6666666666667,0.7301912273842752
2025-07-20,Albedo,610.0,0.7291758061090372
2025-07-20,Albedo,613.3333333333334,0.7300442586313265
2025-07-20,Albedo,616.6666666666667,0.7311483772349053
2025-07-20,Albedo,620.0,0.7311633978869564
2025-07-20,Albedo,623.3333333333334,0.7311472741835223
2025-07-20,Albedo,626.6666666666667,0.7318157306686233
2025-07-20,Albedo,630.0,0.7325324701377885
2025-07-20,Albedo,633.3333333333334,0.7332187196414958
2025-07-20,Albedo,636.6666666666667,0.732789498049254
2025-07-20,Albedo,640.0,0.7320211828360245
2025-07-20,Albedo,643.3333333333334,0.7323610636960101
2025-07-20,Albedo,646.6666666666667,0.7323670382436974
2025-07-20,Albedo,650.0,0.7318616156005864
2025-07-20,Albedo,653.3333333333334,0.7315924105452126
2025-07-20,Albedo,656.6666666666667,0.7307256679790664
2025-07-20,Albedo,660.0,0.7295344220751847
2025-07-20,Albedo,663.3333333333334,0.7309478442990704
2025-07-20,Albedo,666.6666666666667,0.7312826221503647
2025-07-20,Albedo,670.0,0.7296355228278645
2025-07-20,Albedo,673.3333333333334,0.7282200799840985
2025-07-20,Albedo,676.6666666666667,0.7277100528093726
2025-07-20,Albedo,680.0,0.7283775195195428
2025-07-20,Albedo,683.3333333333334,0.729222096132196
2025-07-20,Albedo,686.6666666666667,0.7249153834732863
2025-07-20,Albedo,690.0,0.7214784950472045
2025-07-20,Albedo,693.3333333333334,0.7230613186230224
2025-07-20,Albedo,696.6666666666667,0.7258922540953201
2025-07-20,Albedo,700.0,0.7249375190873446
2025-07-20,Albedo,703.3333333333334,0.7235528892385714
2025-07-20,Albedo,706.6666666666667,0.7228866250870871
2025-07-20,Albedo,710.0,0.7229759833980898
2025-07-20,Albedo,713.3333333333334,0.7216454754748107
2025-07-20,Albedo,716.6666666666667,0.7182143316338567
2025-07-20,Albedo,720.0,0.7138596754609893
2025-07-20,Albedo,723.3333333333334,0.7130469721378061
2025-07-20,Albedo,726.6666666666667,0.7132856955347009
2025-07-20,Albedo,730.0,0.7130585839876252
2025-07-20,Albedo,733.3333333333334,0.7141541312907175
2025-07-20,Albedo,736.6666666666667,0.714625508190138
2025-07-20,Albedo,740.0,0.7136399917589648
2025-07-20,Albedo,743.3333333333334,0.7124402528184139
2025-07-20,Albedo,746.6666666666667,0.711585145702602
2025-07-20,Albedo,750.0,0.7108112359346545
2025-07-20,Albedo,753.3333333333334,0.7132959981812067
2025-07-20,Albedo,756.6666666666667,0.7126003436626999
2025-07-20,Albedo,760.0,0.6979704054884021
2025-07-20,Albedo,763.3333333333334,0.68431460282114
2025-07-20,Albedo,766.6666666666667,0.6941283515324745
2025-07-20,Albedo,770.0,0.7044945967000066
2025-07-20,Albedo,773.3333333333334,0.7051635805825021
2025-07-20,Albedo,776.6666666666667,0.7022159894577715
2025-07-20,Albedo,780.0,0.6984936183415297
2025-07-20,Albedo,783.3333333333334,0.6966383056785241
2025-07-20,Albedo,786.6666666666667,0.6949636166121493
2025-07-20,Albedo,790.0,0.693005447287817
2025-07-20,Albedo,793.3333333333334,0.6911524791628791
2025-07-20,Albedo,796.6666666666667,0.6913097251684367
2025-07-20,Albedo,800.0,0.6908724300526152
2025-07-20,Albedo,803.3333333333334,0.6900085543303559
2025-07-20,Albedo,806.6666666666667,0.6910837245437957
2025-07-20,Albedo,810.0,0.690474365784534
2025-07-20,Albedo,813.3333333333334,0.6890159817803476
2025-07-20,Albedo,816.6666666666667,0.6882985856050368
2025-07-20,Albedo,820.0,0.6875807422926934
2025-07-20,Albedo,823.3333333333334,0.6905543563160073
2025-07-20,Albedo,826.6666666666667,0.6919173598941857
2025-07-20,Albedo,830.0,0.6919095431551483
2025-07-20,Albedo,833.3333333333334,0.6933393125926443
2025-07-20,Albedo,836.6666666666667,0.6938694186145625
2025-07-20,Albedo,840.0,0.6933592244216173
2025-07-20,Albedo,843.3333333333334,0.6949150836115032
2025-07-20,Albedo,846.6666666666667,0.6928313528919977
2025-07-20,Albedo,850.0,0.6900857237167344
2025-07-20,Albedo,853.3333333333334,0.6880724656747134
2025-07-20,Albedo,856.6666666666667,0.6854781445613339
2025-07-20,Albedo,860.0,0.68333589598235
2025-07-20,Albedo,863.3333333333334,0.6802636788575654
2025-07-20,Albedo,866.6666666666667,0.6779386981157016
2025-07-20,Albedo,870.0,0.6744162579697022
2025-07-20,Albedo,873.3333333333334,0.6707369528487397
2025-07-20,Albedo,876.6666666666667,0.6666087069744837
2025-07-20,Albedo,880.0,0.6625323842064706
2025-07-20,Albedo,883.3333333333334,0.6608878917091332
2025-07-20,Albedo,886.6666666666667,0.6628283806012629
2025-07-20,Albedo,890.0,0.6537090026862937
2025-07-20,Albedo,893.3333333333334,0.6522867369580497
2025-07-20,Albedo,896.6666666666667,0.651416516897234
2025-07-20,Albedo,900.0,0.6505675051720786
2025-07-20,Albedo,903.3333333333334,0.6479581393221502
2025-07-20,Albedo,906.6666666666667,0.6436545470363193
